node1	interaction	node2	connections
50769	0	77261	3
121138	0	24030	4
32465	0	96730	2
1077	0	1304	8
13361	0	21534	4
28548	0	50489	14
14149	0	2249	50
119018	0	19623	5
45517	0	52095	2
20688	0	49099	4
4616	0	58927	4
102541	0	34907	5
10224	0	70246	2
11413	0	38220	3
18889	0	94350	4
53676	0	64122	2
25484	0	28554	3
105693	0	125341	2
52809	0	64492	11
13125	0	58106	15
21467	0	29785	113
1767	0	459	13
133502	0	87967	3
82256	0	96165	4
21991	0	24405	2
2419	0	8973	109
123130	0	126969	3
31942	0	97948	6
2834	0	91076	3
33023	0	9634	3
47544	0	85683	8
46225	0	71524	2
105557	0	60726	3
11186	0	59713	9
113400	0	45494	2
35881	0	56145	5
84481	0	85867	2
108946	0	59675	5
78608	0	90261	3
97124	0	97425	3
31038	0	8211	13
3896	0	66943	13
17747	0	9787	44
117302	0	66115	2
186	0	1869	121
47521	0	63159	4
39621	0	78768	3
22009	0	28527	20
37344	0	65275	2
111023	0	122316	3
19790	0	7872	9
18473	0	65973	2
82860	0	89164	2
20387	0	4430	79
36380	0	74765	2
135	0	135	15
10582	0	53715	2
21730	0	6507	6
120598	0	61114	2
34058	0	3807	3
44542	0	8260	25
18109	0	50798	26
146	0	57	348
26857	0	33977	47
26202	0	3182	5
100934	0	104515	2
12934	0	449	338
110511	0	61237	4
105734	0	20090	5
72258	0	9124	3
59976	0	75768	3
81758	0	94233	4
16216	0	34524	5
13608	0	13609	3
15443	0	62628	12
11690	0	5145	114
100848	0	4942	7
103679	0	34685	4
16473	0	79832	3
91769	0	94116	3
121872	0	52694	2
33179	0	34174	13
14058	0	5393	11
5221	0	62228	3
63886	0	64211	3
709	0	8822	88
114717	0	78332	3
129630	0	36468	3
27056	0	27653	5
114579	0	94753	6
11677	0	9575	70
41384	0	96150	4
107713	0	97368	2
30611	0	6831	9
4582	0	87415	2
128389	0	86387	2
5448	0	6726	37
48854	0	619	3
13769	0	81043	2
